"HGNC_Symbol","logFC","raw_P.value","adj_P.value"
"HLA-J",0.347227135196692,0.0164806682308737,0.577471389453634
"CYP17A1",0.987359937203217,0.0164833533854608,0.577471389453634
"CEP63",0.454707434635354,0.0164920328667438,0.577471389453634
"KL",1.06652520004708,0.0165203596999579,0.577471389453634
"MRTO4",-0.394450665479297,0.0165302416124367,0.577471389453634
"SEC14L1P1",0.627528211509556,0.0165386621154553,0.577471389453634
"DAPP1",0.477062504226355,0.0165406264298164,0.577471389453634
"KIDINS220",0.442683966025816,0.0165469839081881,0.577471389453634
"RAB36",0.692003746110621,0.0165500585149759,0.577471389453634
"CSAD",0.390363161447516,0.0165851504441563,0.577471389453634
"TIE1",-0.744293887677451,0.0165862235891012,0.577471389453634
"ASPH",0.424174624133416,0.0165885726460155,0.577471389453634
"SNRNP40",-0.307596997685024,0.0166307301801683,0.577471389453634
"IFI44",0.346075570537071,0.0166394283613122,0.577471389453634
"GZMB",-0.387771739076499,0.0166505191542837,0.577471389453634
"APRT",-0.320534437324765,0.0166890291036226,0.577471389453634
"PCYT2",-0.29353649846204,0.0166942319264152,0.577471389453634
"MRPL12",-0.304015493182357,0.0166957041629848,0.577471389453634
"SREBF2",-0.38125805770593,0.0168384882065532,0.577471389453634
"C5AR2",0.512345335989935,0.0169305661718114,0.577471389453634
"NCALD",-0.309854075551397,0.0169312761780734,0.577471389453634
"SPON2",-0.435233811497175,0.0169449466967476,0.577471389453634
"CPNE9",-1.19971046215459,0.0169508598263137,0.577471389453634
"ST3GAL6",0.572883191431852,0.0169734861502623,0.577471389453634
"CDC42EP3",0.533841899364288,0.0170219366471185,0.577471389453634
"GCNT1",0.287850898843137,0.017068817641967,0.577471389453634
"NOTCH1",0.57263763885017,0.0170726590061978,0.577471389453634
"URM1",-0.290722193282565,0.0171999951896395,0.577471389453634
"ATAD3C",-0.537350990563667,0.0172640275608811,0.577471389453634
"PRSS23",-0.397185510604722,0.0173973367850929,0.577471389453634
"NAB1",0.355802809726563,0.0174030905228904,0.577471389453634
"MTMR10",0.446713700088238,0.0174227310198915,0.577471389453634
"DHTKD1",0.429218730030525,0.0174415155110969,0.577471389453634
"LINC00506",0.369323566776671,0.0174477604552969,0.577471389453634
"MIR663A",-0.887255483683693,0.0175555035850038,0.577471389453634
"KIAA0753",0.289756987358998,0.0175559726287538,0.577471389453634
"RFPL4A",-1.43656463106599,0.0175783730375662,0.577471389453634
"ZNF33A",0.45234922111456,0.0176306441996189,0.577471389453634
"SVIL-AS1",0.312369416760736,0.0176316529639747,0.577471389453634
